"","행정구","법정동","count"
"1","강남구","개포동",28
"2","강남구","논현동",77
"3","강남구","대치동",88
"4","강남구","도곡동",33
"5","강남구","삼성동",32
"6","강남구","세곡동",9
"7","강남구","수서동",21
"8","강남구","신사동",32
"9","강남구","압구정동",16
"10","강남구","역삼동",90
"11","강남구","율현동",1
"12","강남구","일원동",22
"13","강남구","자곡동",12
"14","강남구","청담동",28
"15","강동구","강일동",4
"16","강동구","고덕동",35
"17","강동구","길동",44
"18","강동구","둔촌동",17
"19","강동구","명일동",40
"20","강동구","상일동",11
"21","강동구","성내동",78
"22","강동구","암사동",72
"23","강동구","천호동",54
"24","강북구","미아동",102
"25","강북구","번동",34
"26","강북구","수유동",184
"27","강북구","우이동",11
"28","강서구","가양동",11
"29","강서구","개화동",4
"30","강서구","공항동",24
"31","강서구","내발산동",43
"32","강서구","등촌동",32
"33","강서구","마곡동",21
"34","강서구","방화동",38
"35","강서구","염창동",8
"36","강서구","오쇠동",1
"37","강서구","외발산동",29
"38","강서구","화곡동",133
"39","관악구","남현동",6
"40","관악구","봉천동",142
"41","관악구","신림동",218
"42","광진구","광장동",23
"43","광진구","구의동",80
"44","광진구","군자동",30
"45","광진구","능동",16
"46","광진구","자양동",141
"47","광진구","중곡동",154
"48","광진구","화양동",26
"49","구로구","가리봉동",24
"50","구로구","개봉동",51
"51","구로구","고척동",35
"52","구로구","구로동",123
"53","구로구","궁동",6
"54","구로구","신도림동",22
"55","구로구","오류동",27
"56","구로구","온수동",7
"57","구로구","천왕동",7
"58","구로구","항동",3
"59","금천구","가산동",19
"60","금천구","독산동",209
"61","금천구","시흥동",146
"62","노원구","공릉동",64
"63","노원구","상계동",140
"64","노원구","월계동",56
"65","노원구","중계동",58
"66","노원구","하계동",11
"67","도봉구","도봉동",30
"68","도봉구","방학동",83
"69","도봉구","쌍문동",78
"70","도봉구","창동",103
"71","동대문구","답십리동",36
"72","동대문구","신설동",2
"73","동대문구","용두동",25
"74","동대문구","이문동",25
"75","동대문구","장안동",69
"76","동대문구","전농동",103
"77","동대문구","제기동",392
"78","동대문구","청량리동",38
"79","동대문구","회기동",9
"80","동대문구","휘경동",32
"81","동작구","노량진동",48
"82","동작구","대방동",21
"83","동작구","동작동",1
"84","동작구","본동",9
"85","동작구","사당동",61
"86","동작구","상도1동",4
"87","동작구","상도동",57
"88","동작구","신대방동",16
"89","동작구","흑석동",14
"90","마포구","공덕동",11
"91","마포구","구수동",2
"92","마포구","노고산동",16
"93","마포구","대흥동",10
"94","마포구","도화동",14
"95","마포구","동교동",11
"96","마포구","마포동",5
"97","마포구","망원동",29
"98","마포구","상수동",8
"99","마포구","상암동",7
"100","마포구","서교동",16
"101","마포구","성산동",61
"102","마포구","신공덕동",2
"103","마포구","신수동",13
"104","마포구","신정동",2
"105","마포구","아현동",27
"106","마포구","연남동",6
"107","마포구","염리동",9
"108","마포구","용강동",6
"109","마포구","중동",3
"110","마포구","창전동",3
"111","마포구","합정동",7
"112","마포구","현석동",1
"113","서대문구","남가좌동",35
"114","서대문구","냉천동",2
"115","서대문구","대신동",4
"116","서대문구","대현동",1
"117","서대문구","미근동",2
"118","서대문구","북가좌동",11
"119","서대문구","북아현동",12
"120","서대문구","신촌동",3
"121","서대문구","연희동",15
"122","서대문구","영천동",20
"123","서대문구","옥천동",8
"124","서대문구","창천동",5
"125","서대문구","천연동",1
"126","서대문구","충정로2가",4
"127","서대문구","충정로3가",9
"128","서대문구","홍은동",31
"129","서대문구","홍제동",49
"130","서초구","내곡동",7
"131","서초구","반포동",61
"132","서초구","방배동",81
"133","서초구","서초동",64
"134","서초구","신원동",1
"135","서초구","양재동",37
"136","서초구","염곡동",1
"137","서초구","우면동",7
"138","서초구","원지동",2
"139","서초구","잠원동",19
"140","성동구","금호동1가",8
"141","성동구","금호동2가",6
"142","성동구","금호동3가",16
"143","성동구","금호동4가",4
"144","성동구","도선동",2
"145","성동구","마장동",178
"146","성동구","사근동",6
"147","성동구","상왕십리동",2
"148","성동구","성수동1가",15
"149","성동구","성수동2가",47
"150","성동구","송정동",5
"151","성동구","옥수동",4
"152","성동구","용답동",15
"153","성동구","응봉동",5
"154","성동구","하왕십리동",11
"155","성동구","행당동",19
"156","성동구","홍익동",7
"157","성북구","길음동",56
"158","성북구","돈암동",11
"159","성북구","동선동3가",1
"160","성북구","동선동5가",1
"161","성북구","동소문동1가",1
"162","성북구","동소문동2가",1
"163","성북구","동소문동4가",1
"164","성북구","동소문동5가",25
"165","성북구","동소문동6가",2
"166","성북구","동소문동7가",3
"167","성북구","보문동1가",3
"168","성북구","보문동2가",3
"169","성북구","보문동4가",1
"170","성북구","보문동5가",1
"171","성북구","보문동7가",3
"172","성북구","삼선동1가",2
"173","성북구","삼선동2가",2
"174","성북구","삼선동4가",2
"175","성북구","삼선동5가",4
"176","성북구","상월곡동",5
"177","성북구","석관동",24
"178","성북구","성북동",6
"179","성북구","성북동1가",2
"180","성북구","안암동1가",3
"181","성북구","안암동5가",7
"182","성북구","장위동",49
"183","성북구","정릉동",88
"184","성북구","종암동",17
"185","성북구","하월곡동",28
"186","송파구","가락동",106
"187","송파구","거여동",19
"188","송파구","마천동",57
"189","송파구","문정동",53
"190","송파구","방이동",28
"191","송파구","삼전동",19
"192","송파구","석촌동",26
"193","송파구","송파동",15
"194","송파구","신천동",18
"195","송파구","오금동",13
"196","송파구","잠실동",73
"197","송파구","장지동",18
"198","송파구","풍납동",31
"199","양천구","목동",76
"200","양천구","신월동",99
"201","양천구","신정동",94
"202","영등포구","당산동",2
"203","영등포구","당산동1가",80
"204","영등포구","당산동2가",2
"205","영등포구","당산동3가",6
"206","영등포구","당산동4가",2
"207","영등포구","당산동5가",1
"208","영등포구","당산동6가",1
"209","영등포구","대림동",64
"210","영등포구","도림동",12
"211","영등포구","문래동2가",1
"212","영등포구","문래동3가",80
"213","영등포구","문래동4가",4
"214","영등포구","문래동5가",3
"215","영등포구","신길동",57
"216","영등포구","양평동1가",13
"217","영등포구","양평동2가",3
"218","영등포구","양평동3가",9
"219","영등포구","양평동4가",8
"220","영등포구","양평동5가",6
"221","영등포구","양평동6가",7
"222","영등포구","여의도동",21
"223","영등포구","영등포동",18
"224","영등포구","영등포동1가",2
"225","영등포구","영등포동2가",22
"226","영등포구","영등포동3가",7
"227","영등포구","영등포동4가",8
"228","영등포구","영등포동5가",64
"229","영등포구","영등포동6가",19
"230","영등포구","영등포동7가",7
"231","영등포구","영등포동8가",9
"232","용산구","갈월동",1
"233","용산구","남영동",2
"234","용산구","도원동",5
"235","용산구","동빙고동",1
"236","용산구","동자동",4
"237","용산구","문배동",3
"238","용산구","보광동",15
"239","용산구","산천동",1
"240","용산구","서계동",6
"241","용산구","서빙고동",3
"242","용산구","신계동",2
"243","용산구","신창동",3
"244","용산구","용문동",31
"245","용산구","용산동2가",7
"246","용산구","용산동3가",2
"247","용산구","용산동6가",2
"248","용산구","원효로1가",2
"249","용산구","원효로2가",1
"250","용산구","원효로3가",1
"251","용산구","원효로4가",2
"252","용산구","이촌동",37
"253","용산구","이태원동",17
"254","용산구","주성동",1
"255","용산구","청파동1가",4
"256","용산구","청파동2가",2
"257","용산구","청파동3가",3
"258","용산구","한강로1가",4
"259","용산구","한강로2가",4
"260","용산구","한강로3가",10
"261","용산구","한남동",25
"262","용산구","효창동",3
"263","용산구","후암동",13
"264","은평구","갈현동",70
"265","은평구","구산동",10
"266","은평구","녹번동",12
"267","은평구","대조동",32
"268","은평구","불광동",46
"269","은평구","수색동",4
"270","은평구","신사동",25
"271","은평구","역촌동",15
"272","은평구","응암동",86
"273","은평구","증산동",15
"274","은평구","진관동",42
"275","종로구","가회동",2
"276","종로구","계동",6
"277","종로구","관수동",1
"278","종로구","관철동",2
"279","종로구","관훈동",1
"280","종로구","구기동",6
"281","종로구","낙원동",12
"282","종로구","내수동",2
"283","종로구","내자동",2
"284","종로구","누하동",2
"285","종로구","돈의동",1
"286","종로구","동숭동",4
"287","종로구","명륜1가",3
"288","종로구","명륜4가",1
"289","종로구","무악동",6
"290","종로구","부암동",4
"291","종로구","사직동",2
"292","종로구","서린동",1
"293","종로구","세종로",2
"294","종로구","소격동",1
"295","종로구","송월동",1
"296","종로구","수송동",1
"297","종로구","숭인동",6
"298","종로구","신교동",1
"299","종로구","신문로1가",2
"300","종로구","신문로2가",1
"301","종로구","연건동",2
"302","종로구","연지동",3
"303","종로구","예지동",43
"304","종로구","옥인동",2
"305","종로구","운니동",1
"306","종로구","원서동",2
"307","종로구","이화동",1
"308","종로구","익선동",1
"309","종로구","인사동",1
"310","종로구","인의동",2
"311","종로구","장사동",1
"312","종로구","재동",1
"313","종로구","종로2가",1
"314","종로구","종로4가",1
"315","종로구","종로5가",7
"316","종로구","종로6가",11
"317","종로구","중학동",1
"318","종로구","창신동",21
"319","종로구","청운동",2
"320","종로구","청진동",1
"321","종로구","충신동",11
"322","종로구","통인동",12
"323","종로구","평창동",8
"324","종로구","혜화동",2
"325","종로구","홍파동",2
"326","종로구","화동",1
"327","종로구","효제동",1
"328","중구","광희동1가",2
"329","중구","광희동2가",1
"330","중구","남대문로2가",2
"331","중구","남대문로5가",3
"332","중구","남산동2가",1
"333","중구","남창동",52
"334","중구","다동",1
"335","중구","만리동1가",3
"336","중구","만리동2가",1
"337","중구","명동1가",1
"338","중구","명동2가",2
"339","중구","묵정동",1
"340","중구","방산동",2
"341","중구","북창동",2
"342","중구","서소문동",2
"343","중구","소공동",1
"344","중구","수표동",2
"345","중구","순화동",2
"346","중구","신당동",66
"347","중구","쌍림동",5
"348","중구","예관동",2
"349","중구","오장동",102
"350","중구","을지로1가",2
"351","중구","을지로2가",2
"352","중구","을지로4가",13
"353","중구","을지로5가",25
"354","중구","을지로6가",3
"355","중구","인현동2가",17
"356","중구","입정동",1
"357","중구","장충동1가",2
"358","중구","장충동2가",2
"359","중구","저동2가",1
"360","중구","정동",1
"361","중구","주교동",2
"362","중구","중림동",7
"363","중구","충무로1가",6
"364","중구","충무로2가",2
"365","중구","충무로3가",1
"366","중구","충무로4가",2
"367","중구","충정로1가",3
"368","중구","태평로2가",2
"369","중구","필동1가",1
"370","중구","필동2가",2
"371","중구","필동3가",1
"372","중구","황학동",34
"373","중구","회현동1가",5
"374","중구","흥인동",13
"375","중랑구","망우동",88
"376","중랑구","면목동",125
"377","중랑구","묵동",22
"378","중랑구","상봉동",20
"379","중랑구","신내동",24
"380","중랑구","중화동",53
